project_id,student_id,project_name,project_type,stars,contributors,complexity,technologies,description
PRJ00001,STU0321,Smart Attendance System,academic,26,2,beginner,"Python, Firebase",Will artist age method last we authority several evidence baby light evening security it thing threat firm speak this former would set job their church relate enjoy.
PRJ00002,STU0194,Face Recognition System,academic,37,2,intermediate,"Python, Machine Learning",Culture keep design our attention particularly education wonder across time kid drop here audience cut eye decision allow soldier word.
PRJ00003,STU0029,Food Delivery Application,internship,21,4,advanced,"React, Node.js, MongoDB",Challenge game personal anyone arm difficult time manage energy down training yard important husband data there describe.
PRJ00004,STU0029,Portfolio Website,academic,80,13,intermediate,"HTML/CSS, JavaScript",Now sign federal effort instead rise explain name chance far serious same participant may statement soldier morning threat until get instead sport audience outside.
PRJ00005,STU0050,Cloud File Manager,internship,64,20,advanced,"React, Firebase",Brother garden usually need food owner bag yeah artist pattern throw benefit management enter physical.
PRJ00006,STU0320,AI Resume Analyzer,internship,103,15,intermediate,"Python, FastAPI, Machine Learning",Cost contain late likely interest paper yes American suffer item tree radio room door relationship dog cup force more Democrat democratic issue goal memory turn.
PRJ00007,STU0451,Cloud File Manager,academic,91,1,intermediate,"React, Firebase",Exactly include PM decade consumer have account director place quality own network store station account right tree brother behavior century by region image easy success.
PRJ00008,STU0265,Face Recognition System,personal,32,4,beginner,"Python, Machine Learning",Tv per audience quickly choose behavior quite time American yeah many happy smile teach machine dog again.
PRJ00009,STU0305,Expense Tracker,academic,54,19,beginner,"React, Node.js, MongoDB",To class public structure address dinner here life go authority toward one sort reveal.
PRJ00010,STU0327,Portfolio Website,hackathon,95,14,intermediate,"HTML/CSS, JavaScript",Administration its fast turn join foot but pressure treatment give sign wonder democratic discuss morning little ball.
PRJ00011,STU0372,Cloud File Manager,internship,52,8,beginner,"React, Firebase",Fight point factor education western middle simply exist about street cost term wish some strong two sit soldier.
PRJ00012,STU0409,AI Resume Analyzer,academic,37,10,advanced,"Python, FastAPI, Machine Learning",Table cut where nature case magazine pay continue very avoid manager kind sign modern bring.
PRJ00013,STU0224,Portfolio Website,hackathon,84,19,advanced,"HTML/CSS, JavaScript",Bad large represent gun this significant best live remember unit huge without send.
PRJ00014,STU0398,Student Management System,personal,125,10,advanced,"Java, SQL",Identify maybe what role wish research account environmental table thought answer order position hundred even guess mind Mr which listen crime professor picture reduce.
PRJ00015,STU0176,Food Delivery Application,hackathon,7,17,advanced,"React, Node.js, MongoDB",Receive whole set cut newspaper keep herself moment fine leader husband too finally give big tough anyone discover woman.
PRJ00016,STU0337,AI Chatbot,personal,19,8,advanced,"Python, FastAPI, Machine Learning",Laugh worker happen area size note hot group prevent consumer serve learn.
PRJ00017,STU0420,Online Examination System,academic,113,12,beginner,"Java, SQL",Continue eat single indicate system evidence notice region better on whatever similar along set wonder any bed first listen.
PRJ00018,STU0500,Data Analytics Dashboard,personal,22,11,beginner,"Python, Data Science, SQL",Across compare enjoy security team the add camera debate safe call paper plan four argue far.
